1,Paris
2,Melbourne
3,London
4,Sydney
5,Hong Kong
6,Boston
7,Tokyo
8,Montreal
9,Toronto
10,Seoul
11,Zurich
12,Vancouver
13,San Francisco
14,Munich
15,Singapore
16,Berlin
17,New York
18,Chicago
19,Barcelona
20,Vienna
21,Canberra
22,Auckland
23,Brisbane
24,Buenos Aires
25,Taipei
26,Beijing
27,Edinburgh
28,Copenhagen
29,Adelaide
30,Manchester
31,Los Angeles
32,Dublin
33,Shanghai
34,Kyoto
35,Stockholm
36,Milan
37,Amsterdam
38,Perth
39,Helsinki
40,Madrid
41,Philadelphia
42,Washington DC
43,Moscow
44,Santiago
45,Coventry
46,Pittsburgh
47,Brussels
48,Osaka
49,Prague
50,Mexico City
